Sheet 1: GST state-wise revenue for 2019,,,,,,
States,Jan-19,Feb-19,Mar-19,Jun-19,Jul-19,Aug-19
Jammu and Kashmir,331,306,388,332,363,302
Himachal Pradesh,647,610,660,697,677,676
Punjab,1216,1100,1166,1248,1271,1255
Chandigarh,159,147,162,158,156,160
Uttarakhand,1146,1237,1451,1232,1289,941
Haryana,4815,4873,4561,4889,4617,4474
Delhi,3525,3422,3722,3595,3406,3517
Rajasthan,2776,2676,3132,2683,2699,2550
Uttar Pradesh,5485,5112,5548,5366,5422,4975
Bihar,1039,961,1177,1003,1160,981
Sikkim,176,145,160,193,201,163
Arunachal Pradesh,38,32,85,48,49,45
Nagaland,17,20,46,20,23,27
Manipur,24,21,46,25,34,37
Mizoram,26,22,50,24,19,28
Tripura,52,46,64,58,49,58
Meghalaya,104,129,127,124,104,117
Assam,787,736,956,798,795,768
West Bengal,3495,3490,3841,3514,3586,3503
Jharkhand,1965,2121,2149,1811,1855,1770
Odisha,2338,2374,2626,2923,2494,2497
Chattissgarh,2064,2068,2143,2093,2002,1873
Madhya Pradesh,2414,2291,2624,2212,2282,2255
Gujarat,6185,6507,6521,6424,6411,6185
Daman and Diu,101,92,103,87,105,103
Dadra and Nagar Haveli,173,139,174,165,135,159
Maharastra,15151,14092,15596,15143,15102,13407
Karnataka,7329,6453,6983,6659,7088,6201
Goa,394,401,389,338,361,325
Lakshadweep,1,3,1,1,2,1
Kerala,1584,1416,1635,1568,1512,1582
Tamil Nadu,6201,5974,6941,5881,6084,5973
Puducherry,159,175,184,135,145,161
Andaman and Nicobar Island,35,25,28,21,22,30
Telangana,3195,3460,3897,3166,3163,3059
Andhra Pradesh,2159,2088,2589,2232,2138,2115
Ladakh,0,0,0,0,0,0
Other territory,194,141,167,166,158,170
Centre Jurisdiction,45,47,74,61,59,100
Grand Total,77545,74952,82165,77083,77040,72543